Value,Datetime,Sample duration
414.9582824707031,"2023-02-09 21:37:06,894617",0.200006416
415.13897705078125,"2023-02-09 21:37:07,094624",0.20001304
414.92132568359375,"2023-02-09 21:37:07,294637",0.20001304
414.41278076171875,"2023-02-09 21:37:07,494650",0.200006416
414.368408203125,"2023-02-09 21:37:07,694656",0.199999808
414.978759765625,"2023-02-09 21:37:07,894656",0.199999808
414.4763488769531,"2023-02-09 21:37:08,094656",0.199993216
414.6400146484375,"2023-02-09 21:37:08,294649",0.199999808
414.44976806640625,"2023-02-09 21:37:08,494649",0.199993216
414.3180847167969,"2023-02-09 21:37:08,694642",0.199999808
414.0690002441406,"2023-02-09 21:37:08,894642",0.199993216
413.730224609375,"2023-02-09 21:37:09,094635",0.199993216
414.11688232421875,"2023-02-09 21:37:09,294628",0.199993216
414.9954528808594,"2023-02-09 21:37:09,494621",0.199993216
415.670654296875,"2023-02-09 21:37:09,694615",0.199999808
415.436279296875,"2023-02-09 21:37:09,894614",0.199999808
414.7884521484375,"2023-02-09 21:37:10,094614",0.199993216
415.22271728515625,"2023-02-09 21:37:10,294607",0.199993216
418.5430603027344,"2023-02-09 21:37:10,494601",0.199999808
415.2977600097656,"2023-02-09 21:37:10,694600",0.199999808
415.8901672363281,"2023-02-09 21:37:10,894600",0.199993216
415.2920837402344,"2023-02-09 21:37:11,094593",0.19998664
415.4614562988281,"2023-02-09 21:37:11,294580",0.199993216
415.19305419921875,"2023-02-09 21:37:11,494573",0.19998664
415.35723876953125,"2023-02-09 21:37:11,694560",0.19998664
415.4193115234375,"2023-02-09 21:37:11,894546",0.19998664
414.8187255859375,"2023-02-09 21:37:12,094533",0.199993216
415.6437072753906,"2023-02-09 21:37:12,294526",0.199993216
414.4200744628906,"2023-02-09 21:37:12,494519",0.19998664
415.39141845703125,"2023-02-09 21:37:12,694506",0.19998664
414.89166259765625,"2023-02-09 21:37:12,894493",0.19998664
415.119873046875,"2023-02-09 21:37:13,094479",0.19998664
414.5143127441406,"2023-02-09 21:37:13,294466",0.199993216
414.93353271484375,"2023-02-09 21:37:13,494459",0.199980048
414.62457275390625,"2023-02-09 21:37:13,694439",0.199980048
414.85845947265625,"2023-02-09 21:37:13,894419",0.19998664
414.6044921875,"2023-02-09 21:37:14,094406",0.199993216
414.6065979003906,"2023-02-09 21:37:14,294399",0.199993216
417.27716064453125,"2023-02-09 21:37:14,494392",0.19998664
414.1156005859375,"2023-02-09 21:37:14,694379",0.19998664
414.8614196777344,"2023-02-09 21:37:14,894365",0.199993216
414.2389221191406,"2023-02-09 21:37:15,094358",0.199999808
414.625,"2023-02-09 21:37:15,294358",0.19998664
414.3116760253906,"2023-02-09 21:37:15,494345",0.199993216
